Symbol,Date,Close,Volume
SBL,2023-07-27,263.7,"34,748.00"
SBL,2023-07-26,269.0,"39,891.00"
SBL,2023-07-25,269.0,"58,394.00"
SBL,2023-07-24,278.0,"147,752.00"
SBL,2023-07-23,290.0,"153,332.00"
SBL,2023-07-20,277.0,"83,680.00"
SBL,2023-07-19,274.0,"135,612.00"
SBL,2023-07-18,265.5,"78,922.00"
SBL,2023-07-17,266.0,"93,155.00"
SBL,2023-07-16,253.0,"94,754.00"
SBL,2023-07-13,244.1,"29,048.00"
SBL,2023-07-12,245.0,"21,451.00"
SBL,2023-07-11,242.0,"24,867.00"
SBL,2023-07-10,240.0,"37,348.00"
SBL,2023-07-09,239.1,"79,271.00"
SBL,2023-07-06,241.0,"37,751.00"
SBL,2023-07-05,242.0,"71,425.00"
SBL,2023-07-04,241.5,"32,292.00"
SBL,2023-07-03,241.4,"38,471.00"
SBL,2023-07-02,246.0,"61,618.00"
SBL,2023-06-28,251.0,"95,842.00"
SBL,2023-06-27,259.7,"77,772.00"
SBL,2023-06-26,247.3,"43,599.00"
SBL,2023-06-25,244.9,"78,413.00"
SBL,2023-06-22,241.9,"31,466.00"
SBL,2023-06-21,243.0,"25,061.00"
SBL,2023-06-20,246.1,"18,395.00"
SBL,2023-06-19,247.5,"44,535.00"
SBL,2023-06-18,247.0,"69,836.00"
SBL,2023-06-15,252.1,"30,673.00"
SBL,2023-06-14,252.0,"68,933.00"
SBL,2023-06-13,248.0,"39,718.00"
SBL,2023-06-12,245.7,"24,437.00"
SBL,2023-06-11,245.5,"55,328.00"
SBL,2023-06-08,243.8,"48,081.00"
SBL,2023-06-07,247.0,"17,738.00"
SBL,2023-06-06,247.9,"16,459.00"
SBL,2023-06-05,244.2,"23,381.00"
SBL,2023-06-04,249.0,"30,232.00"
SBL,2023-06-01,243.0,"35,976.00"
SBL,2023-05-31,242.0,"23,639.00"
SBL,2023-05-30,245.0,"34,123.00"
SBL,2023-05-28,252.0,"43,631.00"
SBL,2023-05-24,255.9,"27,972.00"
SBL,2023-05-23,254.6,"32,277.00"
SBL,2023-05-22,252.0,"23,595.00"
SBL,2023-05-21,250.0,"33,405.00"
SBL,2023-05-18,250.0,"21,139.00"
SBL,2023-05-17,247.5,"18,809.00"
SBL,2023-05-16,244.0,"15,831.00"
SBL,2023-05-15,245.0,"13,345.00"
SBL,2023-05-14,246.0,"16,467.00"
SBL,2023-05-11,246.0,"11,435.00"
SBL,2023-05-10,247.0,"20,724.00"
SBL,2023-05-09,248.1,"21,098.00"
SBL,2023-05-08,244.9,"18,757.00"
SBL,2023-05-07,250.2,"15,310.00"
SBL,2023-05-04,250.0,"18,343.00"
SBL,2023-05-03,246.0,"25,430.00"
SBL,2023-05-02,245.0,"23,752.00"
SBL,2023-04-30,246.1,"26,875.00"
SBL,2023-04-27,250.0,"14,490.00"
SBL,2023-04-26,249.0,"15,567.00"
SBL,2023-04-25,253.0,"15,782.00"
SBL,2023-04-24,249.0,"23,096.00"
